id,gloss,text
0801,انا مشاهده منزل جميل منزل لون اصفر رمادي,رايت بيتا جميلا في ابها لونه رمادي و اصفر
0802,استفهام سمع جرس,هل تسمع صوت الجرس
0803,مدرسه هو قدره اختبار,طالب المدرسه نجح في الامتحان
0804,رقم هو اخ,كم لديك اخوه
0805,رقم حفل مدرسه اشخاص رقم اثنان ثلاث_اصفار,عدد حضور حفل المدرسه الفين
0806,انا اكل خفيف اكل,اتناول الطعام بهدوء
0807,رقم سجن قضبان,كم عدد المساجين في هذا السجن
0808,ذهاب حج ماضي سن ثلاث_سنوات مع اب,سافرت للحج قبل ثلاث سنوات مع ابي
0809,كل_يوم قبل صباح قراءه قران كتاب,كل يوم قبل صلاه الفجر اقرا القران
0810,انا حب صديق صم,انا احب صديقي الاصم
0811,رقم نسبه فاضي عمل لا_يوجد مجتمع,كم نسبه البطاله في المجتمع
0812,انا مشاهده فيلم سينما طويل,شاهدت فيلم طويل جدا
0813,شخص هو طير هو قبيح,هذا الطائر قبيح
0814,وجوب كلام صدق مستمر,يجب ان تقول الصدق دائما
0815,انا ام استيقاظ صباح قبل سبب خلط اكل,امي تستيقظ قبل صلاه الفجر لتعد الفطور
0816,لا هو فاضي,لا تكن شخص كسول
0817,انا نوم ليل وقت تسع ليل,انام ليلا الساعه التاسعه
0818,انا حب لون ذهبي كره لون فضي,احب اللون الذهبي و اكره اللون الفضي
0819,انا اسم ع ل ي هو اسم سوال,اسمي علي ما اسمك
0820,انا مدرسه قراءه قران كتاب,انا اقرا القران
0821,انا اخ بنت حب لون بنفسجي ام حب لون رمادي,اختي تحب اللون البنفسجي و امي تحب اللون الرمادي
0822,انا حب صلاه قراءه مدرسه,احب الصلاه و قراءه القران
0823,اكل خلط مستشفى فائده,الطعام الصحي مفيد
0824,اخ بنت ابن طفل جميل,ابنه اختي الصغيره جميله
0825,انا اخ طياره سوال فرنسا الان صيف,انا و اخي سنسافر لفرنسا هذا الصيف
0826,حقيبه_يد حقيبه_ظهر مدرسه ثقيل,حقيبه المدرسه ثقيله جدا
0827,انا اخ معرفه سياره بنت,اختي تتعلم قياده السياره
0828,انا مساعده جد ري حديقه,اساعد جدتي وهي تسقي الزرع
0829,مساعده جد ولد مشي مساعده,اساعد جدي في المشي
0830,لا انا صديق لا_يوجد مدرسه,ليس لدي اصدقاء في المدرسه
0831,كيفيه معرفه لغه اشاره,كيف اتعلم لغه الاشاره
0832,وجوب وضوء قبل الصلاه,يجب ان تتوضا قبل الصلاه
0833,انا ولد_عم مع ذهاب صيد سمكه,انا وابن عمي سنذهب لصيد السمك
0834,انا انف منزل جار,انا احترم جاري
0835,انا زياره اقارب غدا,سوف ازور اقاربي غدا
0836,خال بنت هو مدير مدرسه,خالتي تعمل مديره مدرسه
0837,انا حب اكل منزل,احب ان اكل في المنزل
0838,انا حفظ قران مدرسه موقع مدرسه ,انا احفظ القران في المدرسه
0839,انا مدرسه مركز معرفه مركز لغه انجليزيه,انا ادرس في معهد اللغه الانجليزيه
0840,انا رغبه مساعده معرفه مدرسه,احتاج مساعده في مذاكره دروسي
0841,انا ذهاب مركز لغه انجليزيه مستمر,انا اذهب لمعهد اللغه الانجليزيه كل يوم
0842,انا ذهاب منزل صديق بنت يوم السبت,سوف اذهب لمنزل صديقتي يوم السبت
0843,لا اكل قبل نوم,لا تاكل قبل النوم
0844,انا حب سوال سمع موسيقى صباح,احب ان استمع للموسيقى في الصباح
0845,جد ولد ذهاب سوال صلاه الجمعه,جدي ذهب لصلاه الجمعه
0846,انا ابن مشي سوال بحر,انا و ابني نمشي على الشاطئ
0847,انا رغبه جديله صبغ لون سوال ذهبي,اريد ان اصبغ شعري للون الاشقر
0848,اخ وفاه اسبوع_ماضي الله رحمه,اخي مات قبل اسبوع الله يرحمه
0849,انا سياحه مدرسه سوال منقط قديم,لدينا رحله مدرسيه للمتحف
0850,تاريخ سوال يوم اجازه السعوديه علم يوم,متى عطله اليوم الوطني السعودي
0851,انا رغبه شراء حفيد ترفيه تقديم,اريد ان اشتري لعبه لحفيدي
0852,جد انسحاب مستشفى الان,جدي يخرج من المستشفى اليوم
0853,لا رغبه حب اقارب خال بنت ابن هو كذب,لا احب ابن خالتي كذاب
0854,استفهام هو ابن بنت ذهاب مدرسه,هل تذهب ابنتك للمدرسه
0855,عمر بنت اخ طفل عمر سنه نصف,عمر اختي الصغيره سنه و نصف
0856,تاريخ سوال مدرسه انسحاب,متي تنتهي من المدرسه
0857,وجوب ان دواء صباح,يجب ان تاخذ الدواء صباحا
0858,باص مدرسه وقت وصول منزل سبعه صباح,حافله المدرسه تاتي الساعه السابعه صباحا
0859,جد بنت مدرسه قراءه جهل,جدتي لا تعرف القراءه
0860,انا رغبه شراء غتره عقال سبب عيد اجازه,اريد ان اشتري غتره وعقال للعيد
0861,سياره غسل صباح,غسلت سيارتي في الصباح
0862,منزل امام هنا بحر,بيتي امام البحر
0863,انا شرب اضافه جسم كل_يوم صباح,اشرب البروتين كل يوم في الصباح
0864,مدرسه سباحه معرفه ممتاز,درس السباحه ممتع
0865,جبل صعود ثقيل,صعود الجبل متعب
0866,الاثنين يوم ماضي ذهاب مستشفى,يوم الاثنين الماضي ذهبت للمستشفي
0867,عيد اجازه ذبح,عيد اضحى مبارك
0868,اب انا بناء مسجد كبير,ابي يبني مسجدا كبيرا
0869,طفل هو معرفه سباحه,الطفل يتعلم السباحه
0870,صلاه مسجد داخل قدره,الصلاه في المسجد افضل
0871,استفهام د قول سوال,ماذا قال لك الطبيب
0872,ابن اكل مستشفى لا,الولد ياكل طعام غير صحي
0873,استفهام كتابه هذا هو,هل القلم هذا لك
0874,كتاب هذا كسل امتلاء,هذا الكتاب ممل
0875,انا مترجم لغه سرعه معرفه لا,لا افهم المترجم سريع جدا
0876,نوم داخل طياره داخل نوم سعيد لا,النوم بالطائره غير مريح
0877,انا مشاهده غدا ان_شاء_لله,اراك غدا ان شاء الله
0878,طفل بكاء زياده,يبكي الطفل كثيرا
0879,انا لقاء قدره,تشرفت بمعرفتك
0880,عمر جد بنت سن مئه,عمر جدتي مئه سنه
0881,هو حب ايس_كريم صح,انت تحب الايسكريم
0882,انا حب اكل طعم فلفل مع رز رغبه لا,لا احب الفلفل في الاكل
0883,استفهام هو سوال سعيد هو اب هو سعيد قدره,كيف حالك و حال والدك
0884,ذهاب استفهام ذهاب جد بنت زياره ذهاب هو,سنذهب لزياره جدتي
0885,نعم اخ صم,نعم اخي اصم
0886,استفهام هو اخ صم هو,هل اخوك اصم
0887,استفهام هو ابن هو,هل لديك ابناء
0888,زوج انا ملابس كوي عمل هو لون بني,زوجتي تقوم بكي قميص العمل البني
0889,ملابس تعليق,اضع ملابسي في الخزانه
0890,انا رغبه شراء فيلا مع زهره كبير,اريد شراء منزل به حديقه كبيره
0891,ماضي انا سمع الم,امس كنت اعاني من الام شديده في الاذن
0892,وصول سرير خوف غدا,سيصل السرير الجديد غدا
0893,شوربه هو طبخ جد بنت طعم لذيذ,شوربه جدتي لذيذه
0894,طاوله كسر,هذه الطاوله مكسوره
0895,انا رغبه د سمع,اريد طبيب اذن
0896,غيوم شمس ابها شمس,الطقس في ابها مشمس اليوم
0897,زوج ولد هو اخذ سوال مدرسه,زوجي ياخذ الاطفال من المدرسه
0898,رغبه شراء تيشيرت تنوره لون ابيض,اريد شراء بلوزه لونها ابيض
0899,انا اخ بنت كبير رغبه خياطه,اختي الكبيره تحب الخياطه
0900,جد اب انا عمل خبز,جدي و ابي يعملون خباز
0901,هو مشي نادل وصول سوال باص,ياتي النادل الى هنا بالحافله
0902,انا اب مع طياره فرنسا صيف الان,انا و ابي سنسافر لفرنسا هذا الصيف
0903,لا الان لون ملابس تيشيرت لون بني لا,لم يعجبني القميص البني
0904,فستان طويل,الفستان هذا طويل جدا
0905,مباراه عالم الان مشاهده كسل امتلاء,مباراه كاس العالم اليوم ممله
0906,يوم الخميس مع مستشفى اب ذهاب مستشفى,يوم الخميس اذهب مع ابي الى المستشفى
0907,خلط ام طعم لذيذ,طبخ امي لذيذ
0908,لا خوف قط,لا تخاف من القطه
0909,طفل ضرب هو كلب,الطفل ضرب الكلب
0910,اخ ابن صغير,ابن اخي قصير
0911,جد ولد مستمر صدقه فقير متسول,جدي دائما يتصدق للفقراء و المساكين
0912,انا اخ بنت معلم اطفال,اختي معلمه اطفال
0913,انا اخ كل_يوم الاربعاء ذهاب قراءه_شفاه معرفه,اخي يذهب كل اربعاء الى اخصائيه تدريب نطق
0914,ابن انا ابتسامه سعيد سبب ذهاب مشاهده مباراه كره_قدم,ابني سعيد لانه ذهب لمشاهده مباراه كره القدم
0915,انا اخ بنت هو معلم صم,اختي معلمه للصم
0916,اسره ام اب اخ ولد ثلاث,اسرتي تتكون من امي وابي و اخواني الثلاث
0917,وجوب ان الصلاه خمس وقت اتقان,يجب ان تصلي الصلوات الخمس
0918,انا حب ام اب اخ بنت طفل,احب ابي وامي و اختي الصغيره
0919,شهر قريب ترفيه حفل زوج اخ,الشهر القادم حفله زواج اخي
0920,حمايه السعوديه حمايه شعب السعوديه,الامن السعودي يحمي الوطن
0921,شهر قريب ام وصول منطقه الرياض,الشهر القادم امي تصل الي الرياض
0922,اخ ولد لون فضي اصفر بني,اخي يحب اللون الفضي والاصفر والبني
0923,اخ رغبه موسيقى,اخي يحب الموسيقى
0924,ممنوع دخان داخل مدرسه,ممنوع التدخين في المدرسه
0925,عم ولد طيب كريم,عمي رجل طيب وكريم
0926,سياحه تعب,الرحله كانت متعبه
0927,رحمه جميل رحمه,الرحمه صفه جميله
0928,مطر ضباب سبب حادث,المطر والضباب يسبب حوادث السير
0929,طريق ذهاب وصول سوال طياره خطر,الطريق الى المطار خطير
0930,شخص هو عامل هو صبغ مسجد لون ابيض,العامل يصبغ المسجد باللون الابيض
0931,قرد قفز شجر,القرد فوق الشجره
0932,قلم تحت خزانه تعليق ملابس,القلم تحت خزانه الملابس
0933,استفهام لون دم ال د م,ما هو لون الدم
0934,جد ولد ري حديقه,جدي يسقي الزرع
0935,حمايه محامي كلام صدق,المحامي يقول الصدق
0936,قط خوف ثعبان,القطه تخاف من الثعبان
0937,ملك سعوديه هو زياره الصين منطقه,الملك السعودي يزور الصين
0938,اب شراء زهره تقديم ام,ابي اشترى باقه زهور و قدمها لامي
0939,انا اخ حب لون اصفر,اخي يحب اللون الاصفر
0940,انا شرب ماء بارد,انا اشرب الماء البارد
0941,انا مشاهده طير جميل صباح,شاهدت طائر حلو في الصباح
0942,انا سعيد سبب زواج اخ بنت,انا سعيد بسبب زواج اختي
0943,ملابس اخ شماغ عقال,يلبس اخي غتره و عقال
0944,انا مشاهده فلافل حمص مشاهده لا_يوجد,لم اجد فلافل و حمص
0945,اب انا مستشار خبير لغه اشاره,ابي خبير لغه اشاره
0946,هو ولد هو كذب,هذا رجل كذاب
0947,الان انسحاب خلاص لغه دوره لغه اشاره,اليوم انهيت دوره بلغه الاشاره
0948,انا رغبه ذهاب شركه اتصالات,اريد الذهاب الى شركه الاتصالات
0949,زياره شخص اخر صباح,زارنا ضيف الصباح
0950,منزل امام مدرسه,بيتي امام المدرسه
0951,انا سعيد سبب ام وصول سفر صحه,نحن سعداء بعوده امي من السفر
0952,جد ولد حديقه زهره,جدي يزرع الشجر
0953,داخل مسجد ممنوع اكل شرب,داخل المسجد يمنع الاكل و الشرب
0954,شرطه هو مساعده اشخاص انسان,الشرطي يساعد الناس
0955,انا اخ بنت سعيد سبب عمل مع صم,اختي سعيده بالعمل مع الصم
0956,انا لقاء ساعه احد_عشر نصف كوفي,سنتقابل الساعه احد عشر و نصف في المقهى
0957,انا مشاهده رسم ماضي,شاهدت الرسام يرسم امس
0958,شجر كبير جبل سقوط,شجره كبيره من اعلى الجبل سقطت
0959,استفهام اسم صوت فيل,ما اسم صوت الفيل
0960,فرنسا مشاهده جميع انسان حب سوال بيتزا تقطيع,في فرنسا جميع الناس يحبون البيتزا
0961,مشاهده فيلم سينما عرض امتلاء,هذا الفيلم ممل
0962,د كلام لي ثلاث_ايام اعاده عوده,قال لي الطبيب راجعني بعد ثلاث ايام
0963,قبل دخول اخ وجوب دق_الباب,قبل دخولي لغرفه اخي اقرع جرس الباب
0964,ماشاءالله هو ذكي,ما شاء الله انت ذكي
0965,عمل بنك شخص هو معروف تعامل ابتسامه,موظف البنك يتميز بحسن التعامل والابتسامه
0966,كيفيه طبخ بيتزا تقطيع مهاره سوال,كيف تصنع البيتزا
0967,انا رغبه شراء محفظه مال,اريد شراء محفظه نقود
0968,هو كلب هو قبيح,هذا الكلب قبيح
0969,كيفيه وصول سياحه بقاله,كيف اصل الى السوبرماركت
0970,انا رغبه مترجم لغه اشاره,اريد مترجم لغه اشاره
0971,انا مع اسره ذهاب زهره,انا واسرتي ذهبنا الى الحديقه
0972,انا ذهاب صيدليه مع ام,ذهبت للصيدليه مع امي
0973,انا اب بيع منزل,ابي باع المنزل
0974,انا حب اخ ولد هو ابن طفل,احب ابن اخي الصغير
0975,انا حب اخ كبير,احب اختي الكبيره
0976,انا حب اكل مستشفى ضبط,احب الطعام الصحي
0977,انا ابن عمل شرطه,ابني يعمل في الشرطه
0978,انا كره هو صيف,اكره فصل الصيف
0979,هو استفهام رقم عمر سن اخ طفل بنت,كم عمر اختك الصغيره
0980,جد قدره جد بنت قراءه علم,جدتي تعرف القراءه
0981,انا غسل ملابس غسل صباح,غسلت ملابسي في الصباح
0982,انا اخ صبغ لون وردي,اخي يصبغ الحائط باللون الوردي
0983,معلم كيمياء تعليم ممتاز,درس الفيزياء ممتع
0984,استفهام معلم كلام سوال,ماذا قال لك المعلم
0985,شخص ولد هو ايس_كريم,الولد ياكل الايسكريم
0986,ولد هو ترفيه دراجه,الولد يلعب بالدراجه
0987,انا اب نداء اخ,ابي ينادي اخي
0988,انا ام لا_2 لغه اشاره,امي لا تعرف لغه الاشاره
0989,هو شخص هو طيب,انت شخص طيب
0990,استفهام سوال موقع شركه سوال,ماهو عنوان الشركه
0991,عم ولد شراء تقديم حاسب لاب_توب,عمي اشترى لي كمبيوتر
0992,انا اب حب سوال سمكه مع رز,ابي يحب السمك مع الرز
0993,اكل طاوله,الاكل على الطاوله
0994,زوج بنت هو كوي ملابس,زوجتي تقوم بكي الفستان
0995,استفهام هو مدرسه مكان اسم,ما اسم مدرستك
0996,وصول دراجه اختيار غدا,ستصل الدراجه الجديده غدا
0997,كل_يوم صباح قهوه كوفي شرب,يوميا في الصباح اشرب القهوه
0998,جد بنت حمى برد,جدتي مصابه بنزله برد
0999,تعليق ملابس خزانه تعليق كسر,خزانه ملابس مكسوره
1000,تقديم حديقه فلاح سله جزر انواع,اعطاني المزارع سله من الخضار
